id,alias1,alias2,Name,Leader,Auto,Tap,Slide,Drive,image,thumbnail,type,element,rank,notes
bastet,,,Bastet,Drive skill damage +15% to light allies,Deals 111 damage,"Deals 470 damage 3 times and Cut (350 damage and additional damage if enemy has bleeding, poison or decomposition) to 1 enemy with priority to debuffed enemies                                                                        ",Deals 923 damage 2 times and Blind (-50% accuracy) for 10s to 2 enemies with highest attack,Deals 2238 damage to 4 random enemies and gains evasion rate +80% and debuff evasion rate +80% for 20s,http://i.imgur.com/0ZJupLF.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500023_i.png,Attacker,Light,:star::star::star::star::star:,She got a buff recently.
mafdet,,,Mafdet,Drive skill damage +15% to light allies,Deals 113 damage,Deals 482 damage to enemy with lowest HP with 150 additional damage if dark type,Deals 788 damage plus 500 additional damage and block heals for 16s to 3 enemies with lowest HP,Deals 2303 damage to all enemies and block heals for 20s to 3 enemies with lowest HP,http://i.imgur.com/jxXsT49.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500007_i.png,Attacker,Light,:star::star::star::star::star:,Her Kit is very situational.
charles,charlotte,,Charles,Attack 20% to all attacker type allies,Deals 114 damage,"501 damage, 3x multi-hit, 300 additional damage if enemy is buffed to one enemy","941 damage, 2x multi-hit, 905 def-ignore damage, 1150 additional damage if enemy has shield to two lowest hp enemies",2477 damage to four lowest hp enemies and shock (1000 continuous damage and chance to reduce skill gauge or deal additional damage to random enemy) for 10 sec to two random enemies and 1744 heal to itself,https://cdn.discordapp.com/attachments/281088480614940672/438758066247434240/EAB491ED9C98EC9D98_EC83A4EBA5BC.png,,Attacker,Light,:star::star::star::star::star:,"New child, no comments."
ashtoreth,astarte,astaroth,Ashtoreth,Debuff evasion rate +25% to all allies,Deals 113 damage,"70% chance of counter attack stance (if enemy dies by this buffed character's attack, 2000 damage to random enemy) for 15 sec ","changed to 889 damage, 3x multi-hit, 750 additional damage, 750 def-ignore damage to one enemy",Deals 2233 damage to 4 random enemies,http://i.imgur.com/6GLzC1c.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15938999484.png,Attacker,Light,:star::star::star::star::star:,Pvp oriented child. Ignores defense.
cleopatra,cleo,,Cleopatra,Attack +20% to attack type allies,Deals 125 damage,Deals 485 damage with 275 additional damage to 1 enemy and 80% chance to gain Concentration (100% accuracy and critical chance) for 3 turns,Deals 754 damage with 650 additional damage if dark type to 3 enemies with lowest HP and gives Vampirism (absorbs 30% of the damage as HP) for 15s to 2 allies with priority to light type        ,Deals 2294 damage and Blind (-50% accuracy) for 12s to 4 enemies with lowest HP,http://i.imgur.com/w7iyA93.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i14395976842.png,Attacker,Light,:star::star::star::star::star:,Best attacker for raids till now. Tap and watch the 100% crits.
hildr,hilde,hild,Hildr,Attack +20% to attack type allies,Deals 114 damage,Deals 491 damage to 1 enemy with 275 additional damage if debuff type and gains Ranged Attack (Ignore enemy taunt and reflect) for 12s,Deals 898 damage plus 850 def ignore damage 2 times to 2 enemies with priority to debuff type with 500 additional damage if debuff type,Deals 2459 damage to 4 enemies with lowest HP and 70% chance to Silence (can't use skills and gauge reset) to 2 debuff type enemies for 4s,https://i.imgur.com/btIXahH.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i16566940400.png,Attacker,Light,:star::star::star::star::star:,Pvp oriented child. Pretty much a light version of yan.
cube moa,moa,,Cube Moa,Debuff evasion rate -28% to all enemies,Deals 99 damage,Deals 374 damage and debuff evasion rate -20% for 6s to 1 enemy,Deals 593 damage and 100% chance Petrify for 15s or 3 hits to 2 enemies with highest attack,"Deals 1968 damage to 3 random enemies, removes one buff and enemy drive gauge -25%",http://i.imgur.com/PMH6NAG.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500018_i.png,Debuffer,Light,:star::star::star::star::star:,Cancer child. Petrify your enemies till death. Pvp-oriented.
apep,apophis,,Apep Apophis,Debuff evasion rate -30% to all enemies,Deals 102 damage,Deals 394 damage and attack -25% for 8s to 1 enemy,Deals 664 damage and Shock (300 continuous damage and chance to reduce skill gauge or deal additional damage to random enemy when attacked) for 14s and Blind (-35% accuracy) for 10s to 2 enemies with highest attack,Deals 2047 damage and Blind (-70% accuracy) for 14s to 3 random enemies,https://i.imgur.com/JoKRD87.png,https://i.imgur.com/yF4zQdU.png,Debuffer,Light,:star::star::star::star::star:,No comments.
nirrti,,,Nirrti,Debuff evasion rate -28% to all enemies,Deals 100 damage,Deals 383 damage and removes one buff to 1 enemy,Deals 602 damage and 90% chance Confuse for 10s to 2 enemies with highest attack	,"Deals 1994 damage to 3 random enemies, removes one buff and enemy drive gauge -35%",http://i.imgur.com/f6LzkuH.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i12098117147.png,Debuffer,Light,:star::star::star::star::star:,I wouldn't eat that mayo if i were you...
aria,,,Aria,HP +1000 to all allies (bonus +500 on raids),Deals 93 damage,Deals 320 damage to 1 enemy and gives a +800HP shield for 8s to ally with lowest HP,Deals 474 damage to 2 random enemies and either give additional 300 ignore def damage or +20% ally drive gauge,Deals 1893 damage to 3 random enemies and gives 203HP continuous heal for 20s to 2 allies with lowest HP and +800 drive gauge,http://i.imgur.com/y3EtHan.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500026_i.png,Support,Light,:star::star::star::star::star:,FINAL STAGE! Her position rn is pretty meh.
sitri,,,Sitri,Skill gauge charge speed +25% to all allies (bonus +20% to light allies on world boss),Deals 96 damage,Deals 349 damage to 1 enemy and removes all debuffs to 1 debuffed ally,Deals 720 damage to 1 enemy and gives 150% Double-Edge (increase attack and reduce defense) for 14s to 5 light attack type allies,Deals 1989 damage to 3 random enemies and removes all debuffs to all allies and gives a +1200HP barrier to 5 allies with lowest HP with priority to front row,https://cdn.discordapp.com/attachments/281088480614940672/423201529596477462/PNG_180314_EC8B9CED8AB8EBA6AC_07.png,,Support,Light,:star::star::star::star::star:,Light Double edge is here bois!
luna,,,Luna,Skill gauge charge rate +20% to all allies (bonus +25% on raids)	,Deals 95 damage	,Deals 341 damage and removes one buff to 1 enemy	,Deals 799 damage and debuff duration -40% to 3 allies with highest attack and +70% weakness damage to 2 allies with highest attack for 20s,Deals 1914 damage and removes all buffs to 3 random enemies and +110% skill damage for 20s to 3 allies with highest attack,http://i.imgur.com/cAHdp5N.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15112213119.png,Support,Light,:star::star::star::star::star:,"Must have for raids. Unless you're using mars, jcb or fighting wood having red queen."
neptune,,,Neptune,Skill gauge charge rate +25% to all light allies,Deals 96 damage,Deals 346 damage and removes one buff to 1 enemy,Deals 591 damage to 2 enemies with highest attack and gives debuff immunity for 8s or 1 hit and skill gauge charge rate +40% for 20s to 5 light allies,Deals 1977 damage to 3 random enemies and debuff immunity to all allies and heals 1529HP to 2 allies with lowest HP    ,https://i.imgur.com/9Vp4Xkz.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i16065951469.png,Support,Light,:star::star::star::star::star:,"Neptune shines on WB, use her when u need survival."
diablo,,,Diablo,Skill defense +20% to light allies,Deals 84 damage,Deals 245 damage to 1 enemy and skill defense +20% for 32s or 4 hits and Taunt (88% provocation) for 12s to self	,Deals 533 damage to 1 enemy and gains Immortality (HP won't go under 1) and Fury (saves up to 600% damage and returns 1 time) for 12s        ,Deals 1541 damage to 2 random enemies and skill defense +30% for 22s to all allies,http://i.imgur.com/N3VyUhI.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500032_i.png,Tank,Light,:star::star::star::star::star:,Good lab skin. Meh child.
dana,,,Dana,Skill defense +20% to light allies,Deals 86 damage,Deals 272 damage to 1 enemy and gains immunity to debuffs for 6s,Deals 517 damage to 1 enemy and gives +1000HP shield and +50% defense for 14s to all allies,Deals 1664 damage to 3 random enemies and drive skill defense +40% for 15s to all allies,http://i.imgur.com/lsSeAFJ.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500005_i.png,Tank,Light,:star::star::star::star::star:,Top tier tank. Must have for WB. Combo her slide with hera.
horus,,,Horus,Evasion rate +20% to all allies,Deals 86 damage,Deals 263 damage to 1 enemy and gains +950HP shield for 8s                                                                                ,Deals 548 damage to 1 enemy and gains skill defense +55% for 48s or 6 hits and Taunt (85% provocation),Deals 1653 damage to 3 random enemies and gives +1800HP shield to 2 allies with lowest HP and evasion rate +50% for 16s to 5 light allies,http://i.imgur.com/MDoNw2V.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i15774941072.png,Tank,Light,:star::star::star::star::star:,"Horus got a nice rewamp recently, comments will wait."
maat,,,Maat,Debuff evasion rate +25% to all allies,Deals 90 damage,Deals 291 damage to 1 enemy and removes all debuffs to 1 stunned or petrified ally,Gives 158HP continuous heal for 20s to all allies        ,Revives 1 dead ally to 1000HP and gives 438HP continuous heal for 18s to 4 allies with lowest HP     ,http://i.imgur.com/FnxXUk4.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500016_i.png,Healer,Light,:star::star::star::star::star:,"Top all party heals child. Can revive too. For attacker version search ""d maat"""
venus,,,Venus,Continuous and instant heal +20% to all allies,Deals 92 damage,Heals 1035HP to 2 allies with lowest HP,Gives Immortality (HP won't go under 1) and 469HP continuous heal for 12s to 2 allies with lowest HP,Gives debuff immunity to all allies for 14s and heals 3435HP to 3 allies with lowest HP,https://i.imgur.com/czDY6BM.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/i13592714899.png,Healer,Light,:star::star::star::star::star:,Survival healer.
elizabeth,,,Elizabeth,Drive skill damage +15% to dark allies,Deals 111 damage,Deals 120 damage plus Auto damage 4 times to 1 enemy,Deals 719 (170%) damage to 3 random enemies	,Deals 3405 (300%) damage to 1 enemy and Bleeding (200 continuous damage) for 12s to 4 random enemies,http://i.imgur.com/IiyUm7C.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500021_i.png,Attacker,Dark,:star::star::star::star::star:,Elizabeth shines on WB scenario. 
kubaba,,,Kubaba,Slide Skill Damage Increase +20% to All Dark Allies,Deals 114 damage,"503 damage, 3x multi-shot, 300 additional damage if PvP and a long range attack to itself for 15 sec","917 damage, 2x multi-shot, 950 def-ignore damage and debuff explosion (remove one debuff and apply damage) to two highest atk enemies",2479 damage to all and -90% immortality time.,https://cdn.discordapp.com/attachments/281088480614940672/451437056028180512/ECB9B4ED8E98EAB3B5ECA780EC9AA9_ECBFA0EBB094EBB094_01.png,,Attacker,Dark,:star::star::star::star::star:,
frey,,,Frey,Drive skill damage +300 to all allies,Deals 113 damage,Deals 485 damage to enemy with lowest HP and critical rate +50% and critical damage +100% for 12s to self,Deals 793 (180%) damage to 3 enemies with lowest HP,Deals 2435 damage and Debuff Explosion (removes debuff and damage enemy according to debuff) to all enemies,http://i.imgur.com/7EIGpqT.png,http://static.inven.co.kr/image_2011/site_image/game/minidata/99/5500004_i.png,Attacker,Dark,:star::star::star::star::star:,Crit Boi doing crit.
